model,accuracy,precision_macro,recall_macro,f1_macro
xgboost,0.7702714691270405,0.8550428446837759,0.6248010496295274,0.6286073540807562
random_forest,0.7537260468417317,0.868546148847633,0.6135899099635046,0.6155033915785068
