train_dataset,test_dataset,accuracy,precision_macro,recall_macro,f1_macro
nslkdd,unsw,0.3158359995665589,0.114540970671076,0.2486711048081385,0.1252587305059148
unsw,nslkdd,0.4425124201561391,0.3281504148719867,0.46251359028035194,0.3315850372962482
